recorded;info
2022-09-22T10:10:00;Open
2022-09-22T18:00:00;Closed
2022-09-23T07:00:00;Open
2022-09-22T17:00:00;Closed
2022-09-26T07:00:00;Open
2022-09-30T18:00:00;Closed
2022-10-03T07:00:00;Open
2022-10-05T09:00:00;Closed
2022-10-06T15:00:00;Open
2022-10-07T08:00:00;Closed
2022-10-07T11:00:00;Open
2022-10-07T13:30:00;Closed
2022-10-10T06:30:00;Open
2022-10-14T12:30:00;Closed
2022-10-17T06:30:00;Open
2022-10-18T14:30:00;Closed
