recorded;info
2022-10-02T00:00:00;Closed
2022-10-03T07:00:00;Open
2022-10-05T09:00:00;Closed
2022-10-06T15:00:00;Open
2022-10-07T08:00:00;Closed
2022-10-07T11:00:00;Open
2022-10-07T13:30:00;Closed
2022-10-10T06:30:00;Open
