recorded;info
2022-11-10T20:18:00;Closed
2022-11-11T07:24:00;Open
2022-11-11T08:55:00;Closed
2022-11-12T10:36:00;Open
2022-11-12T11:20:00;Closed
2022-11-12T15:08:00;Open
2022-11-12T15:45:00;Closed
2022-11-13T11:41:00;Open
2022-11-13T13:04:00;Closed
2022-11-13T16:44:00;Open
2022-11-13T16:54:00;Closed
2022-11-14T06:34:00;Open
2022-11-14T07:24:00;Closed
2022-11-14T21:53:00;Open
2022-11-14T22:48:00;Closed
2022-11-15T18:30:00;Closed
